MQ7,MQ2,T,U
114.0,100.0,27.83,66.04
114.0,100.0,27.82,66.05
114.0,100.0,27.81,66.07
114.0,100.0,27.8,66.09
114.0,100.0,27.8,66.11
114.0,100.0,27.79,66.13
114.0,100.0,27.79,66.16
114.0,100.0,27.78,66.18
114.0,100.0,27.77,66.2
114.0,100.0,27.76,66.22
114.1,100.0,27.75,66.25
114.1,100.0,27.74,66.28
114.2,100.0,27.73,66.3
114.2,100.0,27.72,66.32
114.3,100.1,27.71,66.35
114.3,100.1,27.71,66.38
114.4,100.2,27.7,66.41
114.4,100.2,27.7,66.44
114.5,100.3,27.7,66.47
114.6,100.3,27.7,66.5
114.6,100.4,27.7,66.52
114.7,100.5,27.7,66.54
114.7,100.6,27.7,66.56
114.8,100.7,27.7,66.58
114.8,100.7,27.7,66.6
114.8,100.8,27.7,66.62
114.8,100.8,27.69,66.63
114.9,100.9,27.68,66.64
114.9,100.9,27.67,66.65
114.8,100.9,27.66,66.67
114.7,100.9,27.65,66.69
114.5,100.8,27.64,66.71
114.3,100.7,27.63,66.73
114.2,100.6,27.62,66.76
114.1,100.6,27.61,66.78
114.2,100.6,27.6,66.8
114.2,100.7,27.6,66.82
114.3,100.8,27.6,66.84
114.3,100.9,27.6,66.87
114.4,101.1,27.6,66.89
114.6,101.2,27.6,66.91
114.9,101.5,27.6,66.93
115.3,101.8,27.6,66.95
115.7,102.2,27.6,66.96
115.9,102.4,27.6,66.97
116.2,102.7,27.6,66.98
116.5,103.0,27.61,66.99
116.6,103.2,27.62,67.0
117.0,103.5,27.63,67.0
117.5,103.9,27.64,67.0
118.1,104.5,27.65,66.99
118.6,105.0,27.66,66.98
118.9,105.4,27.67,66.96
119.2,105.7,27.68,66.94
119.6,106.0,27.69,66.92
119.7,106.1,27.7,66.89
119.7,106.1,27.7,66.86
119.7,106.1,27.7,66.83
119.6,106.0,27.7,66.8
119.5,105.9,27.7,66.77
119.1,105.5,27.7,66.75
118.8,105.2,27.7,66.73
118.7,105.0,27.7,66.71
118.5,104.8,27.7,66.69
118.4,104.7,27.7,66.67
118.5,104.8,27.7,66.66
118.7,104.9,27.7,66.65
119.0,105.1,27.7,66.64
119.2,105.3,27.7,66.63
119.3,105.5,27.69,66.62
119.5,105.8,27.69,66.62
119.7,106.0,27.69,66.62
120.1,106.4,27.69,66.63
120.4,106.8,27.68,66.64
120.6,107.1,27.67,66.65
120.7,107.2,27.66,66.66
120.7,107.3,27.65,66.67
120.7,107.4,27.64,66.68
120.7,107.5,27.63,66.69
120.6,107.4,27.63,66.7
120.6,107.3,27.62,66.7
120.5,107.2,27.61,66.7
120.1,106.8,27.6,66.71
119.9,106.5,27.6,66.72
119.8,106.3,27.6,66.73
119.6,106.1,27.6,66.74
119.5,105.9,27.6,66.75
119.4,105.7,27.6,66.77
119.2,105.5,27.6,66.79
119.0,105.2,27.6,66.81
118.6,104.8,27.6,66.83
118.3,104.4,27.6,66.85
118.0,104.1,27.59,66.86
117.5,103.6,27.58,66.88
116.9,103.0,27.58,66.9
116.5,102.6,27.58,66.92
116.1,102.2,27.57,66.94
115.6,101.7,27.56,66.95
115.2,101.2,27.55,66.96
114.9,100.9,27.54,66.97
114.7,100.6,27.53,66.98
114.6,100.5,27.52,67.0
114.4,100.3,27.52,67.02
114.3,100.2,27.52,67.03
114.3,100.2,27.51,67.04
114.2,100.1,27.5,67.05
114.1,100.0,27.51,67.06
114.1,100.0,27.52,67.07
114.1,100.0,27.53,67.08
114.1,100.0,27.54,67.09
114.1,100.1,27.55,67.1
114.0,100.0,27.56,67.1
114.0,100.0,27.57,67.1
114.0,100.0,27.58,67.1
114.0,100.0,27.59,67.1
114.0,100.0,27.6,67.09
114.0,100.0,27.59,67.08
114.0,100.0,27.59,67.07
114.0,99.9,27.59,67.06
114.0,99.9,27.59,67.05
114.0,99.9,27.59,67.05
114.0,99.9,27.59,67.05
114.0,99.8,27.59,67.05
113.9,99.6,27.59,67.04
113.9,99.6,27.59,67.03
113.9,99.6,27.59,67.03
113.9,99.6,27.6,67.03
113.9,99.5,27.6,67.03
113.9,99.6,27.6,67.03
113.9,99.6,27.6,67.03
114.0,99.6,27.6,67.02
113.9,99.5,27.6,67.0
113.9,99.6,27.6,66.98
114.0,99.8,27.6,66.97
114.0,99.7,27.6,66.96
114.0,99.7,27.59,66.95
114.0,99.7,27.58,66.94
114.0,99.8,27.57,66.93
114.0,99.8,27.56,66.93
114.0,99.8,27.55,66.93
113.9,99.8,27.54,66.93
114.0,99.9,27.53,66.94
114.0,99.9,27.52,66.95
114.0,99.9,27.51,66.96
114.0,100.0,27.5,66.97
114.0,100.0,27.5,66.98
114.0,100.0,27.5,66.99
114.0,100.0,27.5,67.0
114.0,100.0,27.5,67.0
114.0,100.0,27.5,67.0
114.1,100.0,27.5,67.0
114.0,99.9,27.5,67.0
114.1,99.9,27.5,67.0
114.1,99.9,27.5,67.0
114.2,99.9,27.5,67.0
114.3,99.9,27.5,67.0
114.3,99.9,27.5,67.0
114.3,99.9,27.49,67.0
114.3,99.9,27.49,67.01
114.3,99.9,27.49,67.02
114.2,99.9,27.48,67.03
114.3,100.0,27.48,67.04
114.2,100.0,27.48,67.05
114.2,100.0,27.47,67.06
114.1,100.0,27.46,67.07
114.0,100.0,27.45,67.08
114.0,100.0,27.44,67.09
114.0,100.0,27.44,67.11
114.1,100.0,27.43,67.12
114.1,100.0,27.42,67.13
114.1,100.0,27.42,67.14
114.1,100.0,27.41,67.15
114.1,100.0,27.4,67.16
114.1,100.0,27.4,67.17
114.1,100.0,27.41,67.18
114.1,100.0,27.41,67.19
114.1,100.0,27.41,67.2
114.1,99.9,27.42,67.2
113.9,99.8,27.43,67.2
113.9,99.8,27.44,67.2
113.9,99.8,27.45,67.2
114.0,99.8,27.46,67.2
114.0,99.7,27.47,67.2
114.1,99.7,27.48,67.2
114.1,99.7,27.48,67.2
114.1,99.7,27.49,67.2
114.1,99.7,27.5,67.2
114.1,99.8,27.5,67.2
114.2,99.9,27.5,67.2
114.2,99.9,27.5,67.19
114.2,99.9,27.5,67.18
114.1,99.9,27.5,67.17
114.1,100.0,27.5,67.17
114.0,100.0,27.5,67.16
114.0,100.0,27.5,67.15
114.0,100.0,27.5,67.14
114.0,100.0,27.5,67.13
114.0,100.0,27.5,67.12
114.0,100.0,27.5,67.11
114.0,100.0,27.5,67.11
114.0,100.0,27.5,67.11
114.0,100.0,27.5,67.11
114.0,100.0,27.5,67.1
114.0,100.0,27.5,67.1
114.0,100.0,27.5,67.1
114.0,100.0,27.5,67.09
113.8,99.9,27.5,67.09
113.8,99.8,27.5,67.09
113.8,99.8,27.5,67.08
113.8,99.7,27.5,67.07
113.8,99.7,27.5,67.06
113.8,99.6,27.5,67.05
113.8,99.6,27.5,67.04
113.8,99.6,27.5,67.03
113.8,99.6,27.5,67.02
113.8,99.5,27.5,67.02
114.0,99.5,27.5,67.01
114.0,99.5,27.5,67.0
114.0,99.5,27.5,67.0
114.0,99.5,27.5,67.01
114.0,99.4,27.5,67.02
113.9,99.5,27.5,67.03
113.9,99.5,27.5,67.04
113.9,99.5,27.5,67.05
113.9,99.5,27.49,67.06
113.9,99.6,27.48,67.07
113.9,99.7,27.47,67.09
113.9,99.8,27.46,67.11
113.9,99.8,27.45,67.13
113.9,99.9,27.44,67.15
113.8,99.9,27.43,67.17
113.9,99.9,27.42,67.19
113.9,99.9,27.41,67.21
113.9,99.8,27.4,67.24
113.9,99.8,27.4,67.27
113.9,99.8,27.4,67.3
113.9,99.8,27.4,67.32
114.0,99.8,27.4,67.34
114.0,99.8,27.4,67.37
114.0,99.8,27.4,67.39
114.1,99.9,27.4,67.41
114.1,99.9,27.4,67.43
114.1,99.9,27.4,67.45
114.1,100.0,27.4,67.46
114.1,100.0,27.4,67.47
114.1,100.0,27.4,67.47
114.1,100.0,27.4,67.47
114.0,100.0,27.4,67.47
114.0,100.0,27.4,67.46
114.0,99.9,27.4,67.45
114.0,99.9,27.4,67.44
114.0,99.8,27.4,67.43
114.0,99.8,27.4,67.42
114.0,99.7,27.4,67.41
114.0,99.7,27.4,67.4
114.0,99.7,27.4,67.4
114.0,99.7,27.4,67.4
114.0,99.7,27.41,67.4
114.0,99.7,27.41,67.4
114.0,99.8,27.42,67.4
114.0,99.8,27.43,67.4
114.0,99.9,27.44,67.4
114.0,99.9,27.45,67.4
114.0,100.0,27.46,67.4
114.0,100.0,27.47,67.4
114.0,100.0,27.49,67.39
114.0,100.0,27.51,67.38
114.0,100.0,27.52,67.37
114.0,100.0,27.53,67.35
114.0,100.0,27.54,67.33
114.0,100.0,27.55,67.31
114.0,100.0,27.56,67.29
114.0,100.0,27.57,67.26
114.0,100.0,27.58,67.23
114.0,100.0,27.59,67.2
114.0,100.0,27.59,67.17
114.0,100.0,27.59,67.14
114.0,99.9,27.59,67.11
114.0,99.9,27.6,67.09
114.0,99.8,27.61,67.07
114.0,99.7,27.62,67.04
114.0,99.7,27.63,67.01
114.0,99.7,27.64,66.99
114.0,99.7,27.65,66.97
114.0,99.7,27.66,66.95
114.0,99.7,27.67,66.94
113.9,99.7,27.68,66.93
113.9,99.8,27.69,66.92
113.9,99.8,27.71,66.91
113.9,99.9,27.72,66.89
113.9,100.0,27.73,66.88
113.9,99.9,27.74,66.87
113.9,99.8,27.75,66.86
113.9,99.8,27.77,66.85
113.8,99.8,27.79,66.83
113.8,99.8,27.81,66.81
113.9,99.8,27.83,66.79
113.8,99.8,27.85,66.76
113.8,99.8,27.86,66.73
113.8,99.8,27.88,66.7
113.8,99.8,27.9,66.67
113.8,99.9,27.92,66.63
113.8,100.0,27.94,66.59
113.8,100.0,27.95,66.55
114.0,100.1,27.96,66.51
114.0,100.2,27.97,66.47
114.1,100.3,27.98,66.43
114.2,100.4,27.99,66.4
114.2,100.4,28.0,66.36
114.2,100.5,28.0,66.33
114.2,100.6,28.01,66.29
114.2,100.7,28.01,66.26
114.2,100.8,28.02,66.23
114.3,100.9,28.03,66.19
114.2,100.9,28.04,66.16
114.3,100.9,28.04,66.13
114.3,100.9,28.04,66.09
114.4,100.9,28.04,66.05
114.5,101.0,28.04,66.02
114.7,101.1,28.04,65.99
114.9,101.2,28.03,65.97
115.1,101.3,28.03,65.95
115.3,101.4,28.02,65.93
115.4,101.5,28.01,65.92
115.6,101.6,28.0,65.91
115.7,101.7,28.0,65.9
115.8,101.8,27.99,65.9
115.9,101.8,27.98,65.9
116.0,101.9,27.97,65.9
116.0,101.9,27.96,65.91
116.0,101.9,27.95,65.92
116.0,101.9,27.94,65.93
116.0,101.9,27.93,65.94
116.0,101.9,27.92,65.96
116.0,101.9,27.91,65.98
115.9,101.8,27.9,66.0
115.9,101.8,27.89,66.02
115.9,101.9,27.88,66.05
115.9,101.9,27.87,66.08
115.9,101.9,27.86,66.1
115.9,101.9,27.85,66.12
115.9,101.9,27.84,66.14
115.9,101.9,27.83,66.17
115.9,101.9,27.82,66.19
115.9,101.9,27.81,66.21
116.0,102.0,27.79,66.23
116.0,102.0,27.79,66.26
116.0,102.0,27.78,66.28
116.0,102.0,27.77,66.3
116.0,102.0,27.76,66.32
116.0,102.0,27.75,66.35
115.9,101.9,27.74,66.38
115.8,101.8,27.73,66.4
115.8,101.8,27.72,66.42
115.8,101.8,27.71,66.45
115.8,101.8,27.71,66.48
115.8,101.8,27.7,66.5
115.8,101.8,27.7,66.53
115.7,101.8,27.7,66.56
115.7,101.8,27.7,66.59
115.6,101.8,27.7,66.61
115.7,101.9,27.7,66.64
115.8,102.0,27.7,66.67
115.8,102.0,27.7,66.7
115.8,102.0,27.7,66.72
115.8,102.0,27.7,66.74
115.8,102.0,27.7,66.77
115.8,102.0,27.69,66.79
115.9,102.0,27.69,66.81
115.9,102.0,27.68,66.83
116.0,102.0,27.67,66.85
116.0,102.0,27.66,66.87
116.0,102.0,27.66,66.89
116.0,102.0,27.66,66.91
116.0,102.0,27.66,66.94
116.0,102.0,27.66,66.97
116.0,102.0,27.66,66.99
115.9,101.9,27.67,67.01
115.8,101.9,27.67,67.03
115.8,101.9,27.68,67.05
115.8,101.9,27.69,67.07
115.8,101.9,27.7,67.09
115.8,101.9,27.71,67.11
115.8,101.9,27.72,67.13
115.8,101.9,27.73,67.13
115.8,101.9,27.74,67.13
115.7,101.7,27.75,67.13
115.7,101.7,27.77,67.13
115.7,101.6,27.79,67.13
115.6,101.5,27.81,67.13
115.5,101.5,27.83,67.12
115.4,101.5,27.86,67.1
115.3,101.5,27.88,67.08
115.3,101.5,27.9,67.06
115.3,101.5,27.92,67.04
115.2,101.4,27.95,67.02
115.2,101.5,27.98,67.0
115.2,101.6,28.0,66.97
115.2,101.6,28.02,66.93
115.2,101.7,28.04,66.89
115.2,101.6,28.06,66.86
115.2,101.5,28.08,66.82
115.2,101.5,28.1,66.78
115.1,101.4,28.12,66.73
115.0,101.3,28.14,66.69
115.0,101.4,28.15,66.64
115.1,101.5,28.17,66.59
115.2,101.5,28.19,66.54
115.3,101.6,28.21,66.5
115.3,101.5,28.23,66.45
115.3,101.5,28.25,66.4
115.4,101.6,28.27,66.35
115.4,101.5,28.29,66.3
115.4,101.6,28.31,66.25
115.4,101.7,28.33,66.2
115.4,101.7,28.35,66.15
115.3,101.7,28.36,66.1
115.3,101.7,28.37,66.06
115.3,101.7,28.38,66.01
115.4,101.8,28.4,65.97
115.5,101.9,28.42,65.93
115.5,101.9,28.43,65.89
115.6,102.0,28.44,65.85
115.7,102.0,28.45,65.82
115.8,102.0,28.46,65.78
115.8,102.0,28.47,65.75
115.8,102.0,28.48,65.71
115.8,102.0,28.5,65.67
115.8,102.0,28.52,65.64
115.8,102.0,28.53,65.61
115.8,102.0,28.54,65.57
115.8,102.0,28.55,65.54
115.8,102.0,28.56,65.51
115.7,102.0,28.57,65.47
115.7,102.0,28.58,65.44
115.8,102.0,28.6,65.41
115.9,102.0,28.62,65.39
115.9,102.0,28.63,65.36
115.9,102.0,28.64,65.33
115.9,102.0,28.65,65.3
115.9,102.0,28.66,65.27
115.9,102.0,28.67,65.24
115.9,102.0,28.69,65.2
116.0,102.0,28.71,65.17
116.0,102.1,28.73,65.14
116.1,102.2,28.74,65.1
116.1,102.3,28.75,65.06
116.1,102.4,28.76,65.03
116.2,102.5,28.77,64.99
116.3,102.6,28.78,64.95
116.3,102.7,28.79,64.92
116.3,102.8,28.81,64.89
116.3,102.9,28.82,64.87
116.4,103.0,28.83,64.84
116.4,103.0,28.84,64.81
116.4,103.0,28.85,64.79
116.5,103.0,28.86,64.77
116.6,103.0,28.87,64.74
116.6,103.0,28.88,64.72
116.6,103.0,28.9,64.7
116.7,103.0,28.92,64.67
116.8,103.0,28.93,64.64
116.9,103.0,28.94,64.6
116.9,103.0,28.95,64.57
117.0,103.0,28.96,64.54
117.0,103.0,28.97,64.51
117.0,103.0,28.98,64.47
117.0,103.0,28.99,64.44
117.0,103.0,29.0,64.41
117.0,103.0,29.01,64.38
117.0,103.1,29.02,64.35
117.0,103.2,29.03,64.32
117.0,103.3,29.04,64.3
117.1,103.5,29.05,64.27
117.2,103.7,29.06,64.24
117.4,103.9,29.08,64.21
117.6,104.1,29.1,64.18
117.8,104.4,29.12,64.15
118.1,104.7,29.14,64.11
118.5,105.2,29.15,64.07
119.0,105.7,29.16,64.03
119.7,106.4,29.17,63.99
120.5,107.2,29.18,63.95
121.1,107.8,29.19,63.91
121.3,108.0,29.21,63.87
121.4,108.2,29.22,63.83
121.8,108.7,29.23,63.79
122.1,109.0,29.24,63.75
122.5,109.4,29.25,63.72
122.9,109.8,29.26,63.69
122.9,109.8,29.27,63.66
122.7,109.6,29.28,63.63
122.5,109.4,29.29,63.6
122.3,109.1,29.3,63.57
122.4,109.0,29.3,63.54
122.4,109.0,29.3,63.51
122.1,108.7,29.3,63.49
122.0,108.5,29.3,63.46
121.7,108.2,29.3,63.43
121.3,107.7,29.3,63.4
121.1,107.5,29.3,63.38
120.9,107.3,29.3,63.36
120.6,106.9,29.3,63.34
120.4,106.7,29.3,63.33
120.3,106.7,29.3,63.32
120.2,106.6,29.3,63.31
120.2,106.5,29.3,63.29
120.0,106.4,29.3,63.28
119.8,106.3,29.3,63.27
119.6,106.1,29.3,63.26
119.5,105.9,29.3,63.25
119.4,105.7,29.3,63.24
119.3,105.7,29.3,63.23
119.2,105.6,29.31,63.22
119.1,105.5,29.32,63.21
119.1,105.4,29.33,63.19
119.0,105.3,29.34,63.18
118.9,105.2,29.35,63.17
118.8,105.1,29.36,63.16
118.7,105.1,29.37,63.15
